"especie","key"
"Ramphastos vitellinus",2478782
"Ramphocaenus melanurus",9393917
"Ramphocelus bresilius",2488430
"Ramphodon naevius",2476217
"Ramphomicron microrhynchum",2476052
"Rhinoptynx clamator",0
"Rhopias gularis",7752191
"Rhynchocyclus olivaceus",5229698
"Rhynchotus rufescens",2477464
"Rhytipterna simplex",2483676
"Riparia riparia",2489160
"Rostrhamus sociabilis",2480415
"Rupicola peruvianus",5230374
"Rupicola rupicola",5230373
"Rupornis magnirostris",5844398
"Sakesphorus canadensis",2490049
"Saltator atricollis",5230939
"Saltator fuliginosus",5230941
"Saltator grossus",5230955
"Saltator maximus",5230942
"Saltator similis",5230959
"Sarcoramphus papa",2481923
"Satrapa icterophrys",2482673
"Schiffornis turdina",2486447
"Schiffornis virescens",2486446
"Schistes geoffroyi",2476199
"Schistochlamys melanopis",2488064
"Schistochlamys ruficapillus",2488093
"Sclerurus caudacutus",2485214
"Sclerurus mexicanus",2485221
"Sclerurus scansor",2485236
"Sclerurus sp.",0
"Scytalopus indigoticus",5789069
"Scytalopus speluncae",2490995
"Selasphorus platycercus",2476844
"Selasphorus rufus",2476855
"Selasphorus scintilla",2476851
"Selenidera maculirostris",2478760
"Selenidera sp.",0
"Sephanoides sephanoides",2476816
"Serpophaga nigricans",2483958
"Serpophaga subcristata",2483966
"Setophaga pitiayumi",7341895
"Sicalis flaveola",2491862
"Sicalis luteola",2491846
"Sirystes sibilator",2483973
"Sittasomus griseicapillus",2485628
"Spheniscus magellanicus",5229385
"Spizaetus melanoleucus",5788513
"Spizaetus ornatus",2480679
"Spizaetus tyrannus",2480672
"Sporagra yarrellii",0
"Sporophila angolensis",2492254
"Sporophila ardesiaca",2491315
"Sporophila bouvreuil",2491371
"Sporophila caerulescens",2491376
"Sporophila collaris",2491350
"Sporophila falcirostris",2491326
"Sporophila frontalis",2491385
"Sporophila leucoptera",2491361
"Sporophila lineola",2491330
"Sporophila maximiliani",7350166
"Sporophila nigricollis",2491335
"Stelgidopteryx ruficollis",2489203
"Stephanophorus diadematus",5230725
"Stephanoxis lalandi",2476048
"Sterna hirundinacea",5229231
"Sterna hirundo",9367409
"Sterna sp.",0
"Sternoclyta cyanopectus",2476985
"Streptopelia roseogrisea",2495688
"Streptoprocne biscutata",2477079
"Streptoprocne zonaris",2477082
"Sturnella superciliaris",2484271
"Sula dactylatra",2480967
"Sula leucogaster",2480975
"Synallaxis albescens",2484936
"Synallaxis cinerascens",2484926
"Synallaxis frontalis",2484977
"Synallaxis ruficapilla",2484985
"Synallaxis spixi",2484989
"Syndactyla rufosuperciliata",2485377
"Tachycineta albiventer",5230759
"Tachycineta leucorrhoa",5230761
"Tachyphonus coronatus",2488590
"Tangara arthus",2488179
"Tangara callophrys",2488113
"Tangara cayana",2488246
"Tangara cyanicollis",2488125
"Tangara cyanocephala",2488097
"Tangara cyanoptera",2488232
"Tangara cyanoventris",2488155
"Tangara desmaresti",2488136
"Tangara gyrola",2488114
"Tangara mexicana",2488169
"Tangara nigrocincta",2488137
"Tangara ornata",8150474
"Tangara palmarum",2488241
"Tangara parzudaki",2488192
"Tangara sayaca",0
"Tangara schrankii",2488133
"Tangara seledon",2488104
"Tangara velia",2488157
"Tangara xanthogastra",2488214
"Tapera naevia",5231932
"Taphrospilus hypostictus",2476313
"Taraba major",2490224
"Terenura maculata",2490012
"Tersina viridis",2488545
"Thalassarche chlororhynchos",2481399
"Thalurania colombica",2476528
"Thalurania furcata",2476533
"Thalurania glaucopis",2476548
"Thalurania watertonii",2476527
"Thamnomanes caesius",2490217
"Thamnophilus ambiguus",6093310
"Thamnophilus caerulescens",5959215
"Thamnophilus palliatus",5959210
"Thamnophilus punctatus",5959204
"Thamnophilus ruficapillus",5959211
"thamnophilus sp.",0
"Thlypopsis sordida",2488692
"Thraupis cyanoptera",2488626
"Thraupis episcopus",2488602
"Thraupis palmarum",9436876
"Thraupis sayaca",2488622
"Threnetes grzimeki",0
"Threnetes leucurus",5228472
"Threnetes niger",5228466
"Threnetes ruckeri",5228462
"Thripophaga macroura",2486007
"Thryothorus genibarbis",7341176
"Thryothorus longirostris",7341035
"Tiaris fuliginosus",9623485
"Tigrisoma lineatum",2480869
"Tinamus solitarius",2477627
"Tityra cayana",5230383
"Tityra inquisitor",2486476
"Todirostrum cinereum",2483274
"Todirostrum poliocephalum",2483259
"Tolmomyias flaviventris",2482874
"Tolmomyias poliocephalus",2482908
"Tolmomyias sulphurescens",2482882
"Topaza pella",5228596
"Topaza sp.",0
"Touit surdus",2480124
"Trichothraupis melanops",2488778
"Triclaria malachitacea",5229093
"Tringa solitaria",2481710
"Troglodytes aedon",5231459
"Troglodytes musculus",8346347
"Trogon collaris",2496700
"Trogon rufus",2496683
"Trogon sp.",0
"Trogon surrucura",2496634
"Trogon viridis",2496647
"Turdus albicollis",2490782
"Turdus amaurochalinus",2490752
"Turdus flavipes",7342122
"Turdus fumigatus",9354950
"Turdus leucomelas",2490726
"Turdus rufiventris",2490718
"Turdus sp.",0
"Tyrannus melancholicus",5229662
"Tyrannus savana",5229693
"Tyto alba",2497921
"Urochroa bougueri",2476897
"Urosticte benjamini",2476279
"Urubitinga coronata",0
"Vanellus cayanus",2480250
"Vanellus chilensis",5229146
"Veniliornis affinis",2478373
"Veniliornis maculifrons",2478340
"Vireo olivaceus",2487430
"Volatinia jacarina",2491741
"Xenops minutus",5230220
"Xenops rutilans",5230207
"Xiphocolaptes albicollis",2485485
"Xipholena atropurpurea",2486347
"Xiphorhynchus fuscus",5230128
"Xiphorhynchus guttatus",5230139
"Xolmis irupero",2482747
"Xolmis velatus",2482736
"Zenaida auriculata",2495358
"Zonotrichia capensis",5231103
