"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"notes";"original.search"
4111;"Aphelandra squarrosa Nees";NA;"Acanthaceae";"species";"accepted";"Aphelandra squarrosa";"LC";"";"Aphelandra squarrosa"
34115;"Avicennia schaueriana Stapf & Leechm. ex Moldenke";NA;"Acanthaceae";"species";"accepted";"Avicennia schaueriana";NA;"";"Avicennia schaueriana"
4116;"Chamaeranthemum beyrichii Nees";NA;"Acanthaceae";"species";"accepted";"Chamaeranthemum beyrichii";"LC";"";"Chamaeranthemum beyrichii"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Chamaeranthemum venosum"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Chamaeranthemum venosum"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Chamaeranthemum NA"
4122;"Dicliptera squarrosa Nees";NA;"Acanthaceae";"species";"accepted";"Dicliptera squarrosa";"LC";"replaced synonym";"Dicliptera imminuta"
4122;"Dicliptera squarrosa Nees";NA;"Acanthaceae";"species";"accepted";"Dicliptera squarrosa";"LC";"replaced synonym";"Dicliptera imminuta"
4122;"Dicliptera squarrosa Nees";NA;"Acanthaceae";"species";"accepted";"Dicliptera squarrosa";"LC";"replaced synonym";"Dicliptera imminuta"
4122;"Dicliptera squarrosa Nees";NA;"Acanthaceae";"species";"accepted";"Dicliptera squarrosa";"LC";"";"Dicliptera squarrosa"
4122;"Dicliptera squarrosa Nees";NA;"Acanthaceae";"species";"accepted";"Dicliptera squarrosa";"LC";"";"Dicliptera squarrosa"
128957;"Herpetacanthus angustatus Indriunas & Kameyama";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus angustatus";NA;"";"Herpetacanthus angustatus"
128957;"Herpetacanthus angustatus Indriunas & Kameyama";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus angustatus";NA;"";"Herpetacanthus angustatus"
128957;"Herpetacanthus angustatus Indriunas & Kameyama";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus angustatus";NA;"";"Herpetacanthus angustatus"
128957;"Herpetacanthus angustatus Indriunas & Kameyama";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus angustatus";NA;"";"Herpetacanthus angustatus"
128957;"Herpetacanthus angustatus Indriunas & Kameyama";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus angustatus";NA;"";"Herpetacanthus angustatus"
128957;"Herpetacanthus angustatus Indriunas & Kameyama";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus angustatus";NA;"";"Herpetacanthus angustatus"
15343;"Herpetacanthus macrophyllus Nees";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus macrophyllus";NA;"";"Herpetacanthus macrophyllus"
15343;"Herpetacanthus macrophyllus Nees";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus macrophyllus";NA;"";"Herpetacanthus macrophyllus"
15343;"Herpetacanthus macrophyllus Nees";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus macrophyllus";NA;"";"Herpetacanthus macrophyllus"
15343;"Herpetacanthus macrophyllus Nees";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus macrophyllus";NA;"";"Herpetacanthus macrophyllus"
15343;"Herpetacanthus macrophyllus Nees";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus macrophyllus";NA;"";"Herpetacanthus macrophyllus"
4133;"Herpetacanthus melancholicus Mart. ex Nees";NA;"Acanthaceae";"species";"accepted";"Herpetacanthus melancholicus";NA;"";"Herpetacanthus melancholicus"
79843;"Hygrophila guianensis Nees ex Benth.";NA;"Acanthaceae";"species";"accepted";"Hygrophila guianensis";NA;"";"Hygrophila guianensis"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Jacobinia clausseniana"
109941;"Justicia parabolica (Nees) Profice";NA;"Acanthaceae";"species";"accepted";"Justicia parabolica";NA;"replaced synonym";"Jacobinia parabolica"
26208;"Justicia asclepiadea (Nees) Wassh. & C.Ezcurra";NA;"Acanthaceae";"species";"accepted";"Justicia asclepiadea";NA;"";"Justicia asclepiadea"
26208;"Justicia asclepiadea (Nees) Wassh. & C.Ezcurra";NA;"Acanthaceae";"species";"accepted";"Justicia asclepiadea";NA;"";"Justicia asclepiadea"
26208;"Justicia asclepiadea (Nees) Wassh. & C.Ezcurra";NA;"Acanthaceae";"species";"accepted";"Justicia asclepiadea";NA;"";"Justicia asclepiadea"
26208;"Justicia asclepiadea (Nees) Wassh. & C.Ezcurra";NA;"Acanthaceae";"species";"accepted";"Justicia asclepiadea";NA;"";"Justicia asclepiadea"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia brandegeeana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia brandegeeana"
4141;"Justicia carnea Lindl.";NA;"Acanthaceae";"species";"accepted";"Justicia carnea";NA;"";"Justicia carnea"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia cf. genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia cf. genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia cf. genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia cf. genuflexa"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia citrina"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia citrina"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia citrina"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
4144;"Justicia congrua (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia congrua";"LC";"";"Justicia congrua"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
25067;"Justicia cydoniifolia (Nees) Lindau";NA;"Acanthaceae";"species";"accepted";"Justicia cydoniifolia";"LC";"";"Justicia cydoniifolia"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
4151;"Justicia genuflexa Nees & Mart.";NA;"Acanthaceae";"species";"accepted";"Justicia genuflexa";"VU";"";"Justicia genuflexa"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia laeta"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Justicia laeta"
15347;"Justicia lepida (Moric.) Wassh.";NA;"Acanthaceae";"species";"accepted";"Justicia lepida";NA;"";"Justicia lepida"
15347;"Justicia lepida (Moric.) Wassh.";NA;"Acanthaceae";"species";"accepted";"Justicia lepida";NA;"";"Justicia lepida"
15347;"Justicia lepida (Moric.) Wassh.";NA;"Acanthaceae";"species";"accepted";"Justicia lepida";NA;"";"Justicia lepida"
15347;"Justicia lepida (Moric.) Wassh.";NA;"Acanthaceae";"species";"accepted";"Justicia lepida";NA;"";"Justicia lepida"
4165;"Justicia scheidweileri V.A.W.Graham";NA;"Acanthaceae";"species";"accepted";"Justicia scheidweileri";"LC";"";"Justicia scheidweileri"
